Date,TCS.NS
2022-04-01,3449.473388671875
2022-04-04,3460.118896484375
2022-04-05,3500.911376953125
2022-04-06,3446.353271484375
2022-04-07,3381.01123046875
2022-04-08,3382.387939453125
2022-04-11,3392.253662109375
2022-04-12,3387.389892578125
2022-04-13,3360.63818359375
2022-04-18,3237.755126953125
2022-04-19,3186.225341796875
2022-04-20,3264.140380859375
2022-04-21,3330.07763671875
2022-04-22,3315.302978515625
2022-04-25,3256.247802734375
2022-04-26,3254.50390625
2022-04-27,3268.177978515625
2022-04-28,3289.377197265625
2022-04-29,3254.87109375
2022-05-02,3250.9248046875
2022-05-04,3193.4296875
2022-05-05,3224.3115234375
2022-05-06,3150.159912109375
2022-05-09,3161.630859375
2022-05-10,3155.80322265625
2022-05-11,3131.254150390625
2022-05-12,3128.179931640625
2022-05-13,3133.9150390625
2022-05-16,3098.95068359375
2022-05-17,3167.59619140625
2022-05-18,3165.02685546875
2022-05-19,2993.551025390625
2022-05-20,3022.0458984375
2022-05-23,3048.4296875
2022-05-24,3017.45751953125
2022-05-25,2926.592041015625
2022-05-26,2981.379150390625
2022-05-27,3013.11474609375
2022-05-30,3118.3935546875
2022-05-31,3108.3232421875
2022-06-01,3099.869384765625
2022-06-02,3162.509521484375
2022-06-03,3178.35400390625
2022-06-06,3169.8544921875
2022-06-07,3106.798095703125
2022-06-08,3145.09375
2022-06-09,3166.2978515625
2022-06-10,3104.21142578125
2022-06-13,2974.5888671875
2022-06-14,2966.22705078125
2022-06-15,2962.30078125
2022-06-16,2902.893798828125
2022-06-17,2853.83447265625
2022-06-20,2875.54638671875
2022-06-21,2967.5205078125
2022-06-22,2977.682861328125
2022-06-23,3057.000732421875
2022-06-24,3042.495361328125
2022-06-27,3062.450927734375
2022-06-28,3065.638916015625
2022-06-29,3040.093017578125
2022-06-30,3018.4736328125
2022-07-01,3062.821044921875
2022-07-04,2988.863037109375
2022-07-05,2971.53955078125
2022-07-06,3012.606689453125
2022-07-07,3037.64501953125
2022-07-08,3016.94970703125
2022-07-11,2876.839599609375
2022-07-12,2849.954345703125
2022-07-13,2807.501220703125
2022-07-14,2777.858154296875
2022-07-15,2774.01416015625
2022-07-18,2837.839111328125
2022-07-19,2847.796630859375
2022-07-20,2931.676513671875
2022-07-21,2943.256103515625
2022-07-22,2937.419921875
2022-07-25,2933.4833984375
2022-07-26,2886.37890625
2022-07-27,2953.955322265625
2022-07-28,3020.327392578125
2022-07-29,3058.677734375
2022-08-01,3055.806396484375
2022-08-02,3049.322021484375
2022-08-03,3093.50830078125
2022-08-04,3107.820068359375
2022-08-05,3117.176513671875
2022-08-08,3125.883544921875
2022-08-10,3107.171875
2022-08-11,3170.394287109375
2022-08-12,3150.987548828125
2022-08-16,3142.78955078125
2022-08-17,3150.57080078125
2022-08-18,3132.1826171875
2022-08-19,3136.351318359375
2022-08-22,3107.449951171875
2022-08-23,3042.652099609375
2022-08-24,3015.556640625
2022-08-25,2981.1435546875
2022-08-26,2984.84814453125
2022-08-29,2901.802490234375
2022-08-30,2974.612548828125
2022-09-01,2901.014892578125
2022-09-02,2899.810546875
2022-09-05,2902.590087890625
2022-09-06,2896.70751953125
2022-09-07,2917.5966796875
2022-09-08,2936.169677734375
2022-09-09,2980.633544921875
2022-09-12,3004.0703125
2022-09-13,2991.47216796875
2022-09-14,2890.54736328125
2022-09-15,2875.679931640625
2022-09-16,2787.07470703125
2022-09-19,2805.695068359375
2022-09-20,2816.347412109375
2022-09-21,2780.12744140625
2022-09-22,2785.870849609375
2022-09-23,2762.388671875
2022-09-26,2773.828369140625
2022-09-27,2795.180908203125
2022-09-28,2812.0400390625
2022-09-29,2776.51513671875
2022-09-30,2783.23095703125
2022-10-03,2765.074462890625
2022-10-04,2863.452392578125
2022-10-06,2873.45654296875
2022-10-07,2839.1357421875
2022-10-10,2888.833740234375
2022-10-11,2843.443115234375
2022-10-12,2872.344482421875
2022-10-13,2874.706787109375
2022-10-14,2870.862548828125
2022-10-17,2889.994384765625
2022-10-18,2920.59619140625
2022-10-19,2899.375244140625
2022-10-20,2932.298583984375
2022-10-21,2913.816650390625
2022-10-24,2936.385009765625
2022-10-25,2936.756591796875
2022-10-27,2932.3916015625
2022-10-28,2937.824951171875
2022-10-31,2965.593505859375
2022-11-01,3027.400634765625
2022-11-02,3010.683837890625
2022-11-03,2978.224365234375
2022-11-04,2988.115478515625
2022-11-07,3003.254150390625
2022-11-09,2986.862060546875
2022-11-10,2977.202880859375
2022-11-11,3079.642578125
2022-11-14,3097.79931640625
2022-11-15,3095.1064453125
2022-11-16,3116.23486328125
2022-11-17,3110.33740234375
2022-11-18,3105.18310546875
2022-11-21,3049.505126953125
2022-11-22,3078.7138671875
2022-11-23,3072.537841796875
2022-11-24,3139.267578125
2022-11-25,3148.090087890625
2022-11-28,3153.291259765625
2022-11-29,3155.24169921875
2022-11-30,3149.158935546875
2022-12-01,3227.96142578125
2022-12-02,3194.062744140625
2022-12-05,3181.757080078125
2022-12-06,3144.096923828125
2022-12-07,3139.685302734375
2022-12-08,3111.776611328125
2022-12-09,3058.095947265625
2022-12-12,3052.24462890625
2022-12-13,3094.641845703125
2022-12-14,3125.522216796875
2022-12-15,3069.56591796875
2022-12-16,3009.33740234375
2022-12-19,2973.859619140625
2022-12-20,3012.773681640625
2022-12-21,3035.620361328125
2022-12-22,3027.400634765625
2022-12-23,2998.285400390625
2022-12-26,3021.0859375
2022-12-27,3027.21533203125
2022-12-28,3024.986572265625
2022-12-29,3035.806396484375
2022-12-30,3024.614501953125
