Date,RELIANCE.NS
2022-04-01,1221.5284423828125
2022-04-04,1225.1390380859375
2022-04-05,1207.822265625
2022-04-06,1204.602783203125
2022-04-07,1183.3536376953125
2022-04-08,1203.0389404296875
2022-04-11,1200.5323486328125
2022-04-12,1177.9263916015625
2022-04-13,1173.6029052734375
2022-04-18,1170.0152587890625
2022-04-19,1214.6064453125
2022-04-20,1250.3206787109375
2022-04-21,1279.5958251953125
2022-04-22,1268.8792724609375
2022-04-25,1239.53515625
2022-04-26,1276.629150390625
2022-04-27,1277.87109375
2022-04-28,1296.95849609375
2022-04-29,1283.3443603515625
2022-05-02,1278.8369140625
2022-05-04,1238.9141845703125
2022-05-05,1214.65234375
2022-05-06,1205.338623046875
2022-05-09,1158.263916015625
2022-05-10,1138.1875
2022-05-11,1126.5281982421875
2022-05-12,1103.5772705078125
2022-05-13,1116.0875244140625
2022-05-16,1116.363525390625
2022-05-17,1163.254150390625
2022-05-18,1167.4857177734375
2022-05-19,1140.5792236328125
2022-05-20,1207.08642578125
2022-05-23,1199.0145263671875
2022-05-24,1203.1309814453125
2022-05-25,1201.3602294921875
2022-05-26,1189.90771484375
2022-05-27,1184.388427734375
2022-05-30,1225.64501953125
2022-05-31,1210.85791015625
2022-06-01,1211.2489013671875
2022-06-02,1253.0113525390625
2022-06-03,1278.39990234375
2022-06-06,1272.9036865234375
2022-06-07,1275.2952880859375
2022-06-08,1252.8963623046875
2022-06-09,1287.2537841796875
2022-06-10,1248.388916015625
2022-06-13,1224.77099609375
2022-06-14,1208.76513671875
2022-06-15,1194.13916015625
2022-06-16,1177.443359375
2022-06-17,1191.241455078125
2022-06-20,1169.6474609375
2022-06-21,1188.5279541015625
2022-06-22,1152.4227294921875
2022-06-23,1133.72607421875
2022-06-24,1149.8701171875
2022-06-27,1146.4664306640625
2022-06-28,1162.5872802734375
2022-06-29,1186.7110595703125
2022-06-30,1193.8402099609375
2022-07-01,1107.8546142578125
2022-07-04,1110.154296875
2022-07-05,1119.1461181640625
2022-07-06,1109.3033447265625
2022-07-07,1098.3798828125
2022-07-08,1099.897705078125
2022-07-11,1114.845703125
2022-07-12,1113.2587890625
2022-07-13,1093.5274658203125
2022-07-14,1102.542236328125
2022-07-15,1104.6810302734375
2022-07-18,1114.0867919921875
2022-07-19,1120.9169921875
2022-07-20,1151.226806640625
2022-07-21,1143.5457763671875
2022-07-22,1151.27294921875
2022-07-25,1113.23583984375
2022-07-26,1113.7418212890625
2022-07-27,1112.6839599609375
2022-07-28,1130.11572265625
2022-07-29,1154.193359375
2022-08-01,1184.2734375
2022-08-02,1188.7808837890625
2022-08-03,1198.761474609375
2022-08-04,1182.9166259765625
2022-08-05,1165.48486328125
2022-08-08,1180.7318115234375
2022-08-10,1187.7919921875
2022-08-11,1191.7474365234375
2022-08-12,1211.018798828125
2022-08-16,1219.4356689453125
2022-08-17,1225.805908203125
2022-08-18,1224.0352783203125
2022-08-19,1202.2110595703125
2022-08-22,1198.87646484375
2022-08-23,1217.3660888671875
2022-08-24,1214.1234130859375
2022-08-25,1210.58203125
2022-08-26,1204.1197509765625
2022-08-29,1194.760009765625
2022-08-30,1213.2955322265625
2022-09-01,1177.6273193359375
2022-09-02,1163.8751220703125
2022-09-05,1181.9508056640625
2022-09-06,1194.39208984375
2022-09-07,1187.447021484375
2022-09-08,1189.125732421875
2022-09-09,1181.7208251953125
2022-09-12,1194.9439697265625
2022-09-13,1204.9246826171875
2022-09-14,1190.4825439453125
2022-09-15,1178.6851806640625
2022-09-16,1149.47900390625
2022-09-19,1150.973876953125
