Date,HDFCBANK.NS
2022-04-01,1451.98486328125
2022-04-04,1597.3763427734375
2022-04-05,1550.5675048828125
2022-04-06,1495.2261962890625
2022-04-07,1462.3492431640625
2022-04-08,1460.3245849609375
2022-04-11,1442.4881591796875
2022-04-12,1439.9332275390625
2022-04-13,1412.4072265625
2022-04-18,1345.39990234375
2022-04-19,1294.059814453125
2022-04-20,1305.725830078125
2022-04-21,1325.0567626953125
2022-04-22,1306.9791259765625
2022-04-25,1316.76513671875
2022-04-26,1322.8392333984375
2022-04-27,1323.3212890625
2022-04-28,1322.164306640625
2022-04-29,1334.939208984375
2022-05-02,1353.3541259765625
2022-05-04,1307.3648681640625
2022-05-05,1304.4241943359375
2022-05-06,1270.342041015625
2022-05-09,1272.5113525390625
2022-05-10,1292.951171875
2022-05-11,1300.230224609375
2022-05-12,1270.9212646484375
2022-05-13,1259.5096435546875
2022-05-16,1272.9205322265625
2022-05-17,1281.6011962890625
2022-05-18,1281.503662109375
2022-05-19,1255.3157958984375
2022-05-20,1288.3797607421875
2022-05-23,1271.8477783203125
2022-05-24,1286.4290771484375
2022-05-25,1296.0362548828125
2022-05-26,1333.001708984375
2022-05-27,1357.726806640625
2022-05-30,1366.9925537109375
2022-05-31,1354.703125
2022-06-01,1360.4576416015625
2022-06-02,1350.9481201171875
2022-06-03,1346.2664794921875
2022-06-06,1344.4620361328125
2022-06-07,1329.0029296875
2022-06-08,1333.6845703125
2022-06-09,1343.73046875
2022-06-10,1317.786376953125
2022-06-13,1293.8905029296875
2022-06-14,1279.6505126953125
2022-06-15,1275.212646484375
2022-06-16,1249.70751953125
2022-06-17,1257.9490966796875
2022-06-20,1289.55029296875
2022-06-21,1303.59521484375
2022-06-22,1297.4505615234375
2022-06-23,1302.229736328125
2022-06-24,1320.419921875
2022-06-27,1322.8094482421875
2022-06-28,1312.7147216796875
2022-06-29,1310.8126220703125
2022-06-30,1314.762939453125
2022-07-01,1320.37109375
2022-07-04,1322.2242431640625
2022-07-05,1319.24951171875
2022-07-06,1337.4395751953125
2022-07-07,1361.38427734375
2022-07-08,1362.6522216796875
2022-07-11,1371.4791259765625
2022-07-12,1357.4830322265625
2022-07-13,1324.3699951171875
2022-07-14,1317.73779296875
2022-07-15,1328.466552734375
2022-07-18,1314.3240966796875
2022-07-19,1314.8116455078125
2022-07-20,1331.3924560546875
2022-07-21,1327.198486328125
2022-07-22,1358.1656494140625
2022-07-25,1362.16455078125
2022-07-26,1359.3848876953125
2022-07-27,1369.772216796875
2022-07-28,1381.915283203125
2022-07-29,1398.83740234375
2022-08-01,1410.492919921875
2022-08-02,1394.98486328125
2022-08-03,1398.252197265625
2022-08-04,1396.5941162109375
2022-08-05,1391.8638916015625
2022-08-08,1426.0008544921875
2022-08-10,1430.14599609375
2022-08-11,1449.0675048828125
2022-08-12,1448.5311279296875
2022-08-16,1465.112060546875
2022-08-17,1472.6710205078125
2022-08-18,1474.426513671875
2022-08-19,1456.236572265625
2022-08-22,1434.0960693359375
2022-08-23,1429.658447265625
2022-08-24,1436.5345458984375
2022-08-25,1428.731689453125
2022-08-26,1428.9755859375
2022-08-29,1403.9093017578125
2022-08-30,1449.457763671875
2022-09-01,1435.851806640625
2022-09-02,1448.87255859375
2022-09-05,1458.1871337890625
2022-09-06,1452.6275634765625
2022-09-07,1445.75146484375
2022-09-08,1460.6741943359375
2022-09-09,1461.6495361328125
2022-09-12,1456.72412109375
2022-09-13,1475.7919921875
2022-09-14,1490.9586181640625
2022-09-15,1483.2047119140625
2022-09-16,1455.94384765625
2022-09-19,1465.551025390625
2022-09-20,1483.2047119140625
2022-09-21,1480.91259765625
2022-09-22,1449.3602294921875
2022-09-23,1410.492919921875
2022-09-26,1391.4736328125
2022-09-27,1378.9892578125
2022-09-28,1355.2884521484375
2022-09-29,1348.265869140625
2022-09-30,1386.3043212890625
2022-10-03,1378.355224609375
2022-10-04,1417.1739501953125
2022-10-06,1401.5684814453125
2022-10-07,1395.521240234375
2022-10-10,1380.11083984375
2022-10-11,1366.11474609375
2022-10-12,1375.0391845703125
2022-10-13,1359.238525390625
2022-10-14,1403.5191650390625
2022-10-17,1410.883056640625
2022-10-18,1408.24951171875
2022-10-19,1422.6846923828125
2022-10-20,1413.07763671875
2022-10-21,1403.12890625
2022-10-24,1425.0255126953125
2022-10-25,1415.125732421875
2022-10-27,1418.5394287109375
2022-10-28,1422.7332763671875
2022-10-31,1459.79638671875
2022-11-01,1475.9384765625
2022-11-02,1476.8648681640625
2022-11-03,1470.37890625
2022-11-04,1460.2353515625
2022-11-07,1471.59814453125
2022-11-09,1471.1591796875
2022-11-10,1487.15478515625
2022-11-11,1571.424560546875
2022-11-14,1575.228271484375
2022-11-15,1579.0809326171875
2022-11-16,1592.63818359375
2022-11-17,1578.2518310546875
2022-11-18,1574.106689453125
2022-11-21,1557.9647216796875
2022-11-22,1555.6727294921875
2022-11-23,1559.7203369140625
2022-11-24,1585.0792236328125
2022-11-25,1577.7642822265625
2022-11-28,1560.793212890625
2022-11-29,1558.452392578125
2022-11-30,1568.791015625
2022-12-01,1579.568603515625
2022-12-02,1567.474365234375
2022-12-05,1573.1800537109375
2022-12-06,1571.424560546875
2022-12-07,1570.74169921875
2022-12-08,1579.568603515625
2022-12-09,1590.8338623046875
2022-12-12,1603.220703125
2022-12-13,1607.6585693359375
2022-12-14,1621.2645263671875
2022-12-15,1591.5654296875
2022-12-16,1599.2216796875
2022-12-19,1604.196044921875
2022-12-20,1593.1258544921875
2022-12-21,1577.7154541015625
