Date,MSFT
2022-04-01,301.064208984375
2022-04-04,306.4643249511719
2022-04-05,302.4847412109375
2022-04-06,291.4120788574219
2022-04-07,293.2315368652344
2022-04-08,288.95037841796875
2022-04-11,277.5566101074219
2022-04-12,274.44305419921875
2022-04-13,279.85284423828125
2022-04-14,272.2732238769531
2022-04-18,272.944580078125
2022-04-19,277.59552001953125
2022-04-20,278.62689208984375
2022-04-21,273.2267150878906
2022-04-22,266.6298522949219
2022-04-25,273.1391906738281
2022-04-26,262.9227600097656
2022-04-27,275.5716857910156
2022-04-28,281.8086242675781
2022-04-29,270.025634765625
2022-05-02,276.7879333496094
2022-05-03,274.1705627441406
2022-05-04,282.149169921875
2022-05-05,269.86016845703125
2022-05-06,267.3109436035156
2022-05-09,257.4350280761719
2022-05-10,262.22222900390625
2022-05-11,253.51390075683594
2022-05-12,248.45431518554688
2022-05-13,254.06851196289062
2022-05-16,254.43821716308594
2022-05-17,259.6145935058594
2022-05-18,247.79443359375
2022-05-19,246.87765502929688
2022-05-20,246.31201171875
2022-05-23,254.201904296875
2022-05-24,253.1973419189453
2022-05-25,256.025634765625
2022-05-26,259.3219909667969
2022-05-27,266.4803771972656
2022-05-31,265.144287109375
2022-06-01,265.6807556152344
2022-06-02,267.7872619628906
2022-06-03,263.340087890625
2022-06-06,262.1015319824219
2022-06-07,265.75872802734375
2022-06-08,263.7204284667969
2022-06-09,258.2394714355469
2022-06-10,246.7313690185547
2022-06-13,236.26683044433594
2022-06-14,238.441650390625
2022-06-15,245.53176879882812
2022-06-16,238.9097900390625
2022-06-17,241.52345275878906
2022-06-21,247.4628448486328
2022-06-22,246.86793518066406
2022-06-23,252.45616149902344
2022-06-24,261.07745361328125
2022-06-27,258.3370666503906
2022-06-28,250.1350555419922
2022-06-29,253.82156372070312
2022-06-30,250.47637939453125
2022-07-01,253.15834045410156
2022-07-05,256.347412109375
2022-07-06,259.6243591308594
2022-07-07,261.7601623535156
2022-07-08,261.0384826660156
2022-07-11,257.9664001464844
2022-07-12,247.39456176757812
2022-07-13,246.46804809570312
2022-07-14,247.79443359375
2022-07-15,250.3690948486328
2022-07-18,247.96018981933594
2022-07-19,253.1095428466797
2022-07-20,255.7818145751953
2022-07-21,258.2882385253906
2022-07-22,253.91903686523438
2022-07-25,252.4269256591797
2022-07-26,245.66836547851562
2022-07-27,262.09173583984375
2022-07-28,269.572021484375
2022-07-29,273.79486083984375
2022-08-01,271.1324157714844
2022-08-02,268.0213317871094
2022-08-03,275.4820861816406
2022-08-04,276.63287353515625
2022-08-05,275.9112548828125
2022-08-08,273.38531494140625
2022-08-09,275.3162841796875
2022-08-10,282.006591796875
2022-08-11,279.9195251464844
2022-08-12,284.6885681152344
2022-08-15,286.2099609375
2022-08-16,285.4687805175781
2022-08-17,284.7161865234375
2022-08-18,283.59228515625
2022-08-19,279.6634216308594
2022-08-22,271.4538269042969
2022-08-23,270.1735534667969
2022-08-24,269.53826904296875
2022-08-25,272.5289001464844
2022-08-26,262.0128173828125
2022-08-29,259.21759033203125
2022-08-30,257.0087890625
2022-08-31,255.54287719726562
2022-09-01,254.4971466064453
2022-09-02,250.25550842285156
2022-09-06,247.50918579101562
2022-09-07,252.23948669433594
2022-09-08,252.65972900390625
2022-09-09,258.4650573730469
2022-09-12,260.6054382324219
2022-09-13,246.27777099609375
2022-09-14,246.5025634765625
2022-09-15,239.81759643554688
2022-09-16,239.192138671875
2022-09-19,238.9771270751953
2022-09-20,236.95401000976562
2022-09-21,233.5333709716797
2022-09-22,235.517333984375
2022-09-23,232.5266876220703
2022-09-26,232.06736755371094
2022-09-27,231.05096435546875
2022-09-28,235.60531616210938
2022-09-29,232.11624145507812
2022-09-30,227.62049865722656
2022-10-03,235.28280639648438
2022-10-04,243.23826599121094
2022-10-05,243.55101013183594
2022-10-06,241.19561767578125
2022-10-07,228.93011474609375
2022-10-10,224.05322265625
2022-10-11,220.30030822753906
2022-10-12,220.63258361816406
2022-10-13,228.93011474609375
2022-10-14,223.37887573242188
2022-10-17,232.14556884765625
2022-10-18,233.09359741210938
2022-10-19,231.11935424804688
2022-10-20,230.7968292236328
2022-10-21,236.63148498535156
2022-10-24,241.6451873779297
2022-10-25,244.97793579101562
2022-10-26,226.0763397216797
2022-10-27,221.60992431640625
2022-10-28,230.52316284179688
2022-10-31,226.86798095703125
2022-11-01,222.99771118164062
2022-11-02,215.1106719970703
2022-11-03,209.3932647705078
2022-11-04,216.3714141845703
2022-11-07,222.70449829101562
2022-11-08,223.68182373046875
2022-11-09,219.4207305908203
2022-11-10,237.4720001220703
2022-11-11,241.50839233398438
2022-11-14,236.07443237304688
2022-11-15,236.48492431640625
2022-11-16,236.9161376953125
2022-11-17,236.8671417236328
2022-11-18,236.4163055419922
2022-11-21,237.22975158691406
2022-11-22,240.15042114257812
2022-11-23,242.649658203125
2022-11-25,242.56143188476562
2022-11-28,236.94554138183594
2022-11-29,235.54400634765625
2022-11-30,250.05908203125
2022-12-01,249.61807250976562
2022-12-02,249.9414825439453
2022-12-05,245.2174530029297
2022-12-06,240.23861694335938
2022-12-07,239.50352478027344
2022-12-08,242.4732208251953
2022-12-09,240.5326385498047
2022-12-12,247.48146057128906
2022-12-13,251.80364990234375
2022-12-14,252.09768676757812
2022-12-15,244.0511474609375
2022-12-16,239.81723022460938
2022-12-19,235.66162109375
2022-12-20,236.9847412109375
2022-12-21,239.56239318847656
2022-12-22,233.44664001464844
2022-12-23,233.97586059570312
2022-12-27,232.24111938476562
2022-12-28,229.8594970703125
