Date,OR.PA
2022-04-01,345.7718505859375
2022-04-04,348.9220275878906
2022-04-05,352.16632080078125
2022-04-06,344.54937744140625
2022-04-07,345.30169677734375
2022-04-08,345.91290283203125
2022-04-11,342.7156677246094
2022-04-12,340.0826416015625
2022-04-13,337.77874755859375
2022-04-14,339.89459228515625
2022-04-19,330.0207824707031
2022-04-20,332.5597229003906
2022-04-21,339.4244079589844
2022-04-22,331.9485168457031
2022-04-25,321.5104675292969
2022-04-26,318.0311279296875
2022-04-27,325.8053894042969
2022-04-28,331.29034423828125
2022-04-29,332.8165588378906
2022-05-02,324.4222717285156
2022-05-03,318.1264953613281
2022-05-04,314.5970458984375
2022-05-05,314.02471923828125
2022-05-06,301.4331970214844
2022-05-09,290.367919921875
2022-05-10,294.755859375
2022-05-11,308.92132568359375
2022-05-12,307.8243408203125
2022-05-13,317.1249084472656
2022-05-16,312.6892395019531
2022-05-17,313.1184997558594
2022-05-18,301.4331970214844
2022-05-19,294.4220275878906
2022-05-20,293.6111755371094
2022-05-23,299.14385986328125
2022-05-24,294.0881652832031
2022-05-25,293.2773132324219
2022-05-26,297.56988525390625
2022-05-27,309.8275146484375
2022-05-30,316.4095153808594
2022-05-31,313.4046630859375
2022-06-01,307.1089172363281
2022-06-02,316.6956481933594
2022-06-03,312.7846374511719
2022-06-06,317.74493408203125
2022-06-07,312.260009765625
2022-06-08,311.8307189941406
2022-06-09,307.490478515625
2022-06-10,300.2408142089844
2022-06-13,294.0881652832031
2022-06-14,287.74468994140625
2022-06-15,293.32501220703125
2022-06-16,290.4156188964844
2022-06-17,293.4681091308594
2022-06-20,294.2789306640625
2022-06-21,301.0516357421875
2022-06-22,302.33941650390625
2022-06-23,308.4443664550781
2022-06-24,321.3220520019531
2022-06-27,319.1280517578125
2022-06-28,315.69403076171875
2022-06-29,315.5032653808594
2022-06-30,314.1200866699219
2022-07-01,314.2154846191406
2022-07-04,316.4095153808594
2022-07-05,316.1709899902344
2022-07-06,331.7195739746094
2022-07-07,328.04705810546875
2022-07-08,315.21710205078125
2022-07-11,314.3108825683594
2022-07-12,323.2298889160156
2022-07-13,320.51123046875
2022-07-14,319.3665466308594
2022-07-15,324.7084045410156
2022-07-18,326.4254455566406
2022-07-19,331.1949768066406
2022-07-20,328.2378845214844
2022-07-21,331.004150390625
2022-07-22,337.2999267578125
2022-07-25,337.4430236816406
2022-07-26,338.58770751953125
2022-07-27,339.350830078125
2022-07-28,338.3492126464844
2022-07-29,351.13153076171875
2022-08-01,352.228515625
2022-08-02,347.02972412109375
2022-08-03,344.7403564453125
2022-08-04,349.462158203125
2022-08-05,341.64019775390625
2022-08-08,344.3587951660156
2022-08-09,342.7371520996094
2022-08-10,344.3587951660156
2022-08-11,343.6910705566406
2022-08-12,343.3572082519531
2022-08-15,346.5527648925781
2022-08-16,346.02813720703125
2022-08-17,347.69744873046875
2022-08-18,347.02972412109375
2022-08-19,345.455810546875
2022-08-22,345.21734619140625
2022-08-23,337.7768859863281
2022-08-24,344.0249328613281
2022-08-25,342.9756164550781
2022-08-26,336.4891052246094
2022-08-29,330.861083984375
2022-08-30,326.8070068359375
2022-08-31,327.4270324707031
2022-09-01,322.60986328125
2022-09-02,328.9056091308594
2022-09-05,325.9007873535156
2022-09-06,327.80859375
2022-09-07,326.2346496582031
2022-09-08,325.85308837890625
2022-09-09,329.3825378417969
2022-09-12,336.1552429199219
2022-09-13,332.14886474609375
2022-09-14,328.9056091308594
2022-09-15,326.9500732421875
2022-09-16,323.420654296875
2022-09-19,317.69720458984375
2022-09-20,318.651123046875
2022-09-21,321.7513122558594
2022-09-22,313.0708312988281
2022-09-23,310.7814636230469
2022-09-26,313.64312744140625
2022-09-27,310.7337646484375
2022-09-28,310.1614074707031
2022-09-29,308.4443664550781
2022-09-30,315.0262756347656
2022-10-03,311.6399841308594
2022-10-04,322.60986328125
2022-10-05,320.1296691894531
2022-10-06,318.8418884277344
2022-10-07,313.0231018066406
2022-10-10,309.77984619140625
2022-10-11,312.403076171875
