Date,RELIANCE.NS
2022-04-01,1221.3599853515625
2022-04-04,1224.969970703125
2022-04-05,1207.6556396484375
2022-04-06,1204.4365234375
2022-04-07,1183.1903076171875
2022-04-08,1202.873046875
2022-04-11,1200.36669921875
2022-04-12,1177.7637939453125
2022-04-13,1173.44091796875
2022-04-18,1169.8538818359375
2022-04-19,1214.4388427734375
2022-04-20,1250.1480712890625
2022-04-21,1279.419189453125
2022-04-22,1268.7041015625
2022-04-25,1239.3641357421875
2022-04-26,1276.4530029296875
2022-04-27,1277.6947021484375
2022-04-28,1296.779541015625
2022-04-29,1283.167236328125
2022-05-02,1278.660400390625
2022-05-04,1238.7431640625
2022-05-05,1214.4847412109375
2022-05-06,1205.17236328125
2022-05-09,1158.1041259765625
2022-05-10,1138.030517578125
2022-05-11,1126.3726806640625
2022-05-12,1103.4249267578125
2022-05-13,1115.9334716796875
2022-05-16,1116.20947265625
2022-05-17,1163.09375
2022-05-18,1167.3245849609375
2022-05-19,1140.421875
2022-05-20,1206.9197998046875
2022-05-23,1198.84912109375
2022-05-24,1202.9649658203125
2022-05-25,1201.1944580078125
2022-05-26,1189.7435302734375
2022-05-27,1184.2249755859375
2022-05-30,1225.475830078125
2022-05-31,1210.6907958984375
2022-06-01,1211.081787109375
2022-06-02,1252.8385009765625
2022-06-03,1278.2235107421875
2022-06-06,1272.72802734375
2022-06-07,1275.119384765625
2022-06-08,1252.7235107421875
2022-06-09,1287.076171875
2022-06-10,1248.2166748046875
2022-06-13,1224.60205078125
2022-06-14,1208.598388671875
2022-06-15,1193.974365234375
2022-06-16,1177.2808837890625
2022-06-17,1191.0771484375
2022-06-20,1169.486083984375
2022-06-21,1188.3638916015625
2022-06-22,1152.263671875
2022-06-23,1133.5697021484375
2022-06-24,1149.71142578125
2022-06-27,1146.3082275390625
2022-06-28,1162.4268798828125
2022-06-29,1186.54736328125
2022-06-30,1193.675537109375
2022-07-01,1107.7017822265625
2022-07-04,1110.0010986328125
2022-07-05,1118.99169921875
2022-07-06,1109.150390625
2022-07-07,1098.2283935546875
2022-07-08,1099.7459716796875
2022-07-11,1114.69189453125
2022-07-12,1113.105224609375
2022-07-13,1093.3765869140625
2022-07-14,1102.39013671875
2022-07-15,1104.528564453125
2022-07-18,1113.93310546875
2022-07-19,1120.7623291015625
2022-07-20,1151.0679931640625
2022-07-21,1143.3880615234375
2022-07-22,1151.114013671875
2022-07-25,1113.082275390625
2022-07-26,1113.588134765625
2022-07-27,1112.530517578125
2022-07-28,1129.959716796875
2022-07-29,1154.0341796875
2022-08-01,1184.1099853515625
2022-08-02,1188.6168212890625
2022-08-03,1198.5960693359375
2022-08-04,1182.75341796875
2022-08-05,1165.3240966796875
2022-08-08,1180.5689697265625
2022-08-10,1187.628173828125
2022-08-11,1191.5830078125
2022-08-12,1210.851806640625
2022-08-16,1219.2674560546875
2022-08-17,1225.6368408203125
2022-08-18,1223.8663330078125
2022-08-19,1202.045166015625
2022-08-22,1198.7110595703125
2022-08-23,1217.1981201171875
2022-08-24,1213.9559326171875
2022-08-25,1210.4149169921875
2022-08-26,1203.95361328125
2022-08-29,1194.59521484375
2022-08-30,1213.128173828125
2022-09-01,1177.46484375
2022-09-02,1163.714599609375
2022-09-05,1181.7877197265625
2022-09-06,1194.227294921875
2022-09-07,1187.283203125
2022-09-08,1188.961669921875
2022-09-09,1181.5577392578125
2022-09-12,1194.7791748046875
2022-09-13,1204.7584228515625
2022-09-14,1190.318359375
2022-09-15,1178.5225830078125
2022-09-16,1149.3204345703125
2022-09-19,1150.8150634765625
2022-09-20,1150.9990234375
2022-09-21,1154.1722412109375
2022-09-22,1143.296142578125
2022-09-23,1121.865966796875
2022-09-26,1093.28466796875
2022-09-27,1101.976318359375
2022-09-28,1072.63623046875
2022-09-29,1069.34814453125
2022-09-30,1093.4686279296875
2022-10-03,1089.6746826171875
2022-10-04,1109.771240234375
2022-10-06,1113.864013671875
2022-10-07,1118.577880859375
2022-10-10,1106.3681640625
2022-10-11,1084.340087890625
2022-10-12,1092.3189697265625
2022-10-13,1095.791015625
2022-10-14,1090.2264404296875
2022-10-17,1107.7247314453125
2022-10-18,1127.2694091796875
2022-10-19,1146.8831787109375
2022-10-20,1149.96435546875
2022-10-21,1136.6278076171875
2022-10-24,1140.421875
2022-10-25,1122.80859375
2022-10-27,1127.2235107421875
2022-10-28,1161.7142333984375
2022-10-31,1172.4981689453125
2022-11-01,1163.4156494140625
2022-11-02,1170.681640625
2022-11-03,1175.050537109375
2022-11-04,1192.341796875
2022-11-07,1198.7110595703125
2022-11-09,1197.5155029296875
2022-11-10,1183.0294189453125
2022-11-11,1210.300048828125
2022-11-14,1204.4365234375
2022-11-15,1199.0330810546875
2022-11-16,1192.157958984375
2022-11-17,1195.239013671875
2022-11-18,1194.59521484375
2022-11-21,1173.0960693359375
2022-11-22,1179.603271484375
2022-11-23,1175.9241943359375
2022-11-24,1186.0645751953125
2022-11-25,1203.769775390625
2022-11-28,1245.1356201171875
2022-11-29,1247.27392578125
2022-11-30,1256.08056640625
2022-12-01,1252.3785400390625
2022-12-02,1251.849609375
2022-12-05,1233.5926513671875
2022-12-06,1237.1566162109375
2022-12-07,1218.899658203125
2022-12-08,1218.32470703125
2022-12-09,1199.86083984375
2022-12-12,1201.7001953125
2022-12-13,1207.1728515625
2022-12-14,1202.803955078125
2022-12-15,1185.7196044921875
2022-12-16,1179.856201171875
2022-12-19,1195.35400390625
2022-12-20,1205.7012939453125
2022-12-21,1188.5478515625
2022-12-22,1185.4666748046875
